hierarchy_id,child_id,parent_id
201,E01004317,E02000872
201,E01004318,E02000869
201,E01004314,E02000869
201,E01004311,E02000869
201,E01004315,E02000869
201,E01004313,E02000872
201,E01004312,E02000872
201,E01004316,E02000872
201,E01004321,E02000884
201,E01004319,E02000884
201,E01004324,E02000880
201,E01004323,E02000880
201,E01004326,E02000880
201,E01004325,E02000884
201,E01032767,E02000884
201,E01032766,E02000884
201,E01004322,E02000880
201,E01004330,E02000922
201,E01004328,E02000922
201,E01004331,E02000922
201,E01004329,E02000922
201,E01004332,E02000922
201,E01004333,E02000918
201,E01004334,E02000918
201,E01004327,E02000922
201,E01004341,E02000921
201,E01004338,E02000921
201,E01004336,E02000920
201,E01004339,E02000921
201,E01004340,E02000921
201,E01004335,E02000921
201,E01004337,E02000921
201,E01004347,E02000905
201,E01004343,E02000902
201,E01004344,E02000902
201,E01004345,E02000904
201,E01004342,E02000905
201,E01004348,E02000904
201,E01004346,E02000905
201,E01004349,E02000895
201,E01004351,E02000895
201,E01004350,E02000895
201,E01004353,E02000896
201,E01004354,E02000896
201,E01004352,E02000896
201,E01004358,E02000896
201,E01004356,E02000895
201,E01004355,E02000898
201,E01004357,E02000895
201,E01004359,E02000896
201,E01004361,E02000899
201,E01004360,E02000898
201,E01004362,E02000915
201,E01004368,E02000913
201,E01004363,E02000913
201,E01004365,E02000914
201,E01004364,E02000913
201,E01004366,E02000913
201,E01004367,E02000913
201,E01004372,E02000917
201,E01004374,E02000919
201,E01004375,E02000919
201,E01004370,E02000917
201,E01004371,E02000919
201,E01004376,E02000919
201,E01004369,E02000917
201,E01004373,E02000919
201,E01004383,E02000901
201,E01004378,E02000904
201,E01004379,E02000901
201,E01004380,E02000901
201,E01004381,E02000901
201,E01004382,E02000902
201,E01004377,E02000904
201,E01004387,E02000901
201,E01004385,E02000897
201,E01004388,E02000901
201,E01004389,E02000897
201,E01004390,E02000897
201,E01004384,E02000897
201,E01004386,E02000897
201,E01004395,E02000912
201,E01004397,E02000911
201,E01004392,E02000911
201,E01004394,E02000911
201,E01004391,E02000908
201,E01004393,E02000908
201,E01004396,E02000906
201,E01004404,E02000908
201,E01004403,E02000903
201,E01004398,E02000903
201,E01004401,E02000908
201,E01004400,E02000903
201,E01004402,E02000903
201,E01004399,E02000903
201,E01004411,E02000910
201,E01004412,E02000909
201,E01004406,E02000910
201,E01004405,E02000914
201,E01004409,E02000910
201,E01004410,E02000907
201,E01004408,E02000910
201,E01004407,E02000907
201,E01004416,E02000898
